Obs,Hubids,Eircode,Month,TwoHrSlot,%gas,heat_mean,heat_stddev,h_pr0-1,h_pr1-10,h_pr10-20,h_pr20-30,h_pr30-40,h_pr40-50,h_pr50-60,h_pr60-70,h_pr70-80,h_pr80-90,h_pr90-99,h_pr99-100,boiler_mean,boiler_stddev,b_pr0-1,b_pr1-10,b_pr10-20,b_pr20-30,b_pr30-40,b_pr40-50,b_pr50-60,b_pr60-70,b_pr70-80,b_pr80-90,b_pr90-99,b_pr99-100
2855,29,A83,7,20,0.746409807,6.628196147,23.57358843,0.91558669,0.003152364,0.004903678,0.002451839,0.00385289,0.00385289,0.004903678,0.002451839,0.00385289,0.003502627,0.002802102,0.048686515,2.769141868,13.34935094,0.94676007,0.004903678,0.005954466,0.004203152,0.004903678,0.006304729,0.002101576,0.004903678,0.005954466,0.01295972,0.000700525,0.000350263
2835,29,A83,7,22,0.747089947,4.907160495,21.13997312,0.945679012,0.000352734,0.001058201,0.001058201,0.001763668,0.001410935,0.001410935,0.001058201,0.001058201,0.000705467,0,0.044444444,1.467089958,10.26624992,0.976366843,0.000705467,0.002821869,0.000705467,0.001763668,0.002116402,0.001058201,0.001058201,0.000705467,0.012698413,0,0
2845,29,A83,8,0,0.756063269,3.944288226,19.2481157,0.95887522,0,0.000351494,0,0,0.000702988,0.001405975,0.000702988,0,0.000351494,0.001054482,0.03655536,1.15760985,9.478134061,0.983479789,0.001054482,0.000702988,0,0.000351494,0.001405975,0.000351494,0,0.001757469,0.010896309,0,0
2739,29,A83,8,2,0.749178532,3.881745161,19.2229842,0.959839357,0.000730194,0,0,0.000365097,0.000365097,0,0.000730194,0,0,0,0.037970062,1.091128163,9.305304548,0.985031033,0.000730194,0.000730194,0.000365097,0,0.000365097,0.000365097,0.000365097,0,0.011683096,0.000365097,0
2792,29,A83,8,4,0.753939828,5.843911173,22.39859906,0.930515759,0,0.001432665,0.003581662,0.001074499,0.005730659,0.003223496,0.003223496,0.003581662,0.001074499,0.000358166,0.046203438,2.87700574,14.75706449,0.955587393,0.001074499,0.003223496,0.003581662,0.00465616,0.003581662,0.001432665,0.003223496,0.002148997,0.01217765,0,0.009312321
2840,29,A83,8,6,0.758098592,6.390457745,22.57798953,0.911971831,0.002112676,0.004929577,0.006690141,0.002816901,0.010915493,0.006338028,0.002816901,0.004225352,0.003169014,0.001408451,0.042605634,3.290000008,14.5558656,0.93943662,0.002112676,0.006690141,0.00528169,0.008802817,0.007042254,0.004577465,0.003521127,0.006338028,0.012676056,0.001056338,0.002464789
2846,29,A83,8,8,0.757554462,7.583099113,24.09932208,0.893534786,0.002108222,0.003162333,0.014757554,0.004567814,0.006324666,0.006676037,0.001054111,0.019325369,0.003162333,0.002108222,0.043218552,4.557695028,17.00260535,0.917779339,0.002810963,0.004216444,0.014757554,0.007730148,0.007378777,0.003865074,0.006676037,0.016514406,0.014054814,0.001054111,0.003162333
2847,29,A83,8,10,0.757639621,5.985634001,21.99942649,0.919915701,0.001756235,0.002458728,0.004917457,0.005971198,0.007024939,0.004917457,0.00456621,0.00456621,0.002107482,0.001404988,0.040393397,2.904004225,13.36060617,0.943800492,0.002809975,0.004917457,0.004917457,0.008078679,0.008078679,0.005619951,0.004214963,0.002809975,0.014049877,0.000351247,0.000351247
2842,29,A83,8,12,0.756861365,5.214250528,21.22684101,0.935608726,0.002814919,0.001759324,0.002463054,0.001759324,0.003166784,0.002111189,0.003166784,0.003166784,0.003166784,0.002111189,0.038705137,2.306439141,12.52679097,0.960239268,0.002463054,0.002111189,0.004574243,0.002111189,0.004574243,0.002463054,0.003166784,0.002814919,0.01513019,0.000351865,0
2854,29,A83,8,14,0.755781359,6.741871054,22.90563969,0.905395936,0.002803083,0.00385424,0.007708479,0.00385424,0.013314646,0.00385424,0.005606167,0.005606167,0.004905396,0.002452698,0.040644709,3.208269096,13.93197342,0.936580238,0.002803083,0.005255781,0.009810792,0.010511563,0.003503854,0.004905396,0.009460406,0.002803083,0.013314646,0.000350385,0.000700771
2864,29,A83,8,16,0.757332402,7.501152222,24.32062353,0.898044693,0.002793296,0.004189944,0.005935754,0.00523743,0.011871508,0.006634078,0.004189944,0.005935754,0.003840782,0.002094972,0.049231844,4.309148046,16.86146862,0.922486034,0.00523743,0.005586592,0.00698324,0.007332402,0.010125698,0.008379888,0.006284916,0.003142458,0.016061453,0.001047486,0.007332402
2861,29,A83,8,18,0.756378889,7.951345673,25.16460971,0.892345334,0.00559245,0.004893394,0.004194338,0.006990563,0.006990563,0.00559245,0.007689619,0.004194338,0.006291506,0.004194338,0.051031108,4.567983229,17.41985775,0.918909472,0.005941978,0.005242922,0.007340091,0.005941978,0.010485844,0.007689619,0.008039147,0.00559245,0.015379238,0.002097169,0.007340091
2863,29,A83,8,20,0.755501222,6.348829901,22.93924185,0.915822564,0.003842124,0.004889976,0.004540692,0.004191408,0.004540692,0.004889976,0.001397136,0.004540692,0.002794272,0.00523926,0.043311212,2.891058348,13.66820488,0.944463849,0.003842124,0.007684247,0.004889976,0.003842124,0.008033531,0.001397136,0.004191408,0.006636395,0.013622075,0.000349284,0.001047852
2865,29,A83,8,22,0.755671902,4.336579404,19.82123657,0.95008726,0.001745201,0.00104712,0.00069808,0.001396161,0.002094241,0.00104712,0.002094241,0.00104712,0.00034904,0.00034904,0.038045375,1.488272259,10.372174,0.97556719,0.002094241,0.001396161,0.00104712,0.001396161,0.002792321,0.002094241,0.00069808,0.00034904,0.012216405,0,0.00034904
2874,29,A83,9,0,0.741475296,5.962491303,23.58981989,0.938413361,0.000695894,0.001043841,0,0,0.000347947,0.000347947,0,0,0.000695894,0,0.058455115,2.652470439,14.61144307,0.965901183,0.001391788,0.001043841,0.000347947,0,0,0,0,0.001391788,0.02887961,0.000347947,0.000695894
2832,29,A83,9,2,0.73940678,5.859816383,23.36056983,0.939971751,0,0.000706215,0,0,0.000353107,0.000706215,0.000353107,0.000353107,0.000706215,0.000353107,0.056497175,2.621221791,14.33423861,0.965042373,0.001059322,0.002118644,0,0,0.001059322,0.000706215,0.000353107,0.001412429,0.027542373,0,0.000706215
2871,29,A83,9,4,0.743295019,8.839707438,26.77303704,0.887843957,0.002089864,0.003134796,0.011842564,0.003134796,0.003134796,0.002786486,0.000696621,0.01985371,0.000696621,0.001044932,0.063740857,5.331034513,19.51153822,0.915360502,0.002438175,0.008707767,0.01010101,0.002786486,0.003483107,0.001741553,0.001393243,0.018460467,0.026819923,0,0.008707767
2905,29,A83,9,6,0.746643718,9.429328742,26.9230267,0.866781411,0.003442341,0.004819277,0.022719449,0.006196213,0.007917384,0.006884682,0.004475043,0.004819277,0.004130809,0.003786575,0.064027539,5.779414821,19.21280994,0.893975904,0.005163511,0.006540448,0.023063683,0.006884682,0.008950086,0.005851979,0.006196213,0.00757315,0.029604131,0.000688468,0.005507745
2906,29,A83,9,8,0.747763248,8.670887816,26.36841168,0.884377151,0.004817619,0.006538197,0.008602891,0.003785272,0.007570544,0.005161734,0.002064694,0.007570544,0.005849966,0.004473503,0.059187887,5.308878212,18.67721397,0.907088782,0.00550585,0.008947006,0.007226428,0.007226428,0.009979353,0.004473503,0.00550585,0.010667584,0.030282175,0,0.003097041
2897,29,A83,9,10,0.747324819,7.549188804,24.91209807,0.904383845,0.003106662,0.003106662,0.003451847,0.003797031,0.006213324,0.005522955,0.005522955,0.004142216,0.004142216,0.003451847,0.05315844,4.278943756,16.85890837,0.926820849,0.004832585,0.005522955,0.004142216,0.004487401,0.007594063,0.006213324,0.006213324,0.006558509,0.026924405,0.000690369,0
2903,29,A83,9,12,0.747158112,7.771684468,25.39221863,0.902859111,0.003789184,0.00275577,0.003100241,0.004478126,0.00551154,0.003444712,0.004133655,0.007233896,0.00275577,0.003100241,0.056837754,4.235170527,16.91465205,0.928349983,0.00551154,0.003444712,0.005167069,0.006889425,0.00551154,0.005167069,0.006544953,0.003444712,0.02790217,0.000344471,0.001722356
2895,29,A83,9,14,0.747495682,8.780967172,26.15237603,0.876338515,0.003454231,0.00656304,0.018307427,0.005181347,0.006908463,0.006217617,0.004835924,0.004145078,0.004490501,0.004490501,0.059067358,5.040310909,17.90839217,0.905008636,0.004490501,0.011398964,0.015889465,0.005181347,0.009326425,0.004490501,0.006217617,0.004490501,0.030051813,0.001381693,0.002072539
